,phish_id_x,url,phish_detail_url_x,submission_time_x,verified_x,verification_time_x,online_x,target_x,phish_id_y,phish_detail_url_y,submission_time_y,verified_y,verification_time_y,online_y,target_y
0,7465372.0,https://app-online.lntrbnkseguro.cc/,http://www.phishtank.com/phish_detail.php?phish_id=7465372,2022-03-16T13:20:00+00:00,yes,2022-03-16T13:21:18+00:00,yes,Other,,,,,,,
1,7465370.0,https://honored-halved-evening.glitch.me/,http://www.phishtank.com/phish_detail.php?phish_id=7465370,2022-03-16T13:14:26+00:00,yes,2022-03-16T13:21:18+00:00,yes,Other,,,,,,,
2,7465368.0,https://azmon.co.jp.shofuquqikayui.shop/,http://www.phishtank.com/phish_detail.php?phish_id=7465368,2022-03-16T13:09:55+00:00,yes,2022-03-16T13:21:18+00:00,yes,Amazon.com,,,,,,,
3,7465367.0,https://smbc.co.jp.me0ctx9.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7465367,2022-03-16T13:06:52+00:00,yes,2022-03-16T13:11:53+00:00,yes,Other,,,,,,,
4,7465366.0,https://smbc.co.jp.s0bu9lf.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7465366,2022-03-16T13:06:07+00:00,yes,2022-03-16T13:11:53+00:00,yes,Other,,,,,,,
5,7465365.0,https://www.smbc.co.jp.x01yjnh.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7465365,2022-03-16T13:04:52+00:00,yes,2022-03-16T13:11:53+00:00,yes,Other,,,,,,,
6,7465364.0,https://excshconsultmobiletrans.xyz/,http://www.phishtank.com/phish_detail.php?phish_id=7465364,2022-03-16T13:04:17+00:00,yes,2022-03-16T13:11:53+00:00,yes,Other,,,,,,,
7,7465363.0,https://smbc.co.jp.eo2f50i.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7465363,2022-03-16T13:03:57+00:00,yes,2022-03-16T13:11:53+00:00,yes,Other,,,,,,,
8,7465362.0,https://smbc.co.jp.lkjf0ax.cn/,http://www.phishtank.com/phish_detail.php?phish_id=7465362,2022-03-16T13:01:59+00:00,yes,2022-03-16T13:11:53+00:00,yes,Other,,,,,,,
9,7465359.0,https://cblog.kimmatsko.com/cgi/Home,http://www.phishtank.com/phish_detail.php?phish_id=7465359,2022-03-16T13:01:11+00:00,yes,2022-03-16T13:11:53+00:00,yes,ABSA Bank,,,,,,,
10,7465349.0,https://defi-aavev3.cloud/#/,http://www.phishtank.com/phish_detail.php?phish_id=7465349,2022-03-16T12:43:43+00:00,yes,2022-03-16T12:52:47+00:00,yes,Other,7465349.0,http://www.phishtank.com/phish_detail.php?phish_id=7465349,2022-03-16T12:43:43+00:00,yes,2022-03-16T12:52:47+00:00,yes,Other
11,7465345.0,https://www.mseemoesc.icu/,http://www.phishtank.com/phish_detail.php?phish_id=7465345,2022-03-16T12:41:10+00:00,yes,2022-03-16T12:52:47+00:00,yes,Other,,,,,,,
12,7465336.0,https://knigas-xyz.preview-domain.com/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7465336,2022-03-16T12:32:46+00:00,yes,2022-03-16T12:42:04+00:00,yes,Bank Millennium,,,,,,,
13,7465335.0,https://www.s.aeoncsen.icu,http://www.phishtank.com/phish_detail.php?phish_id=7465335,2022-03-16T12:32:39+00:00,yes,2022-03-16T12:42:04+00:00,yes,Other,,,,,,,
14,7465332.0,https://www.msecmacen.icu/,http://www.phishtank.com/phish_detail.php?phish_id=7465332,2022-03-16T12:31:37+00:00,yes,2022-03-16T12:42:04+00:00,yes,Other,,,,,,,
15,7465330.0,https://tommyq.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465330,2022-03-16T12:30:13+00:00,yes,2022-03-16T12:42:04+00:00,yes,Other,,,,,,,
16,7465321.0,https://pinhager-xyz.preview-domain.com/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7465321,2022-03-16T12:29:14+00:00,yes,2022-03-16T12:32:06+00:00,yes,Bank Millennium,,,,,,,
17,7465319.0,https://makaob-xyz.preview-domain.com/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7465319,2022-03-16T12:28:27+00:00,yes,2022-03-16T12:32:06+00:00,yes,Bank Millennium,,,,,,,
18,7465317.0,https://tangak.uno/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7465317,2022-03-16T12:27:45+00:00,yes,2022-03-16T12:32:06+00:00,yes,Bank Millennium,,,,,,,
19,7465316.0,https://www2.aeonesun.icu,http://www.phishtank.com/phish_detail.php?phish_id=7465316,2022-03-16T12:27:31+00:00,yes,2022-03-16T12:32:06+00:00,yes,Other,,,,,,,
20,7465304.0,https://manchero-xyz.preview-domain.com/pge/pay.php,http://www.phishtank.com/phish_detail.php?phish_id=7465304,2022-03-16T11:58:21+00:00,yes,2022-03-16T12:10:24+00:00,yes,Other,,,,,,,
21,7465295.0,https://webmail-1bt.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465295,2022-03-16T11:37:43+00:00,yes,2022-03-16T11:42:15+00:00,yes,Other,,,,,,,
22,7465294.0,http://webmail-1bt.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465294,2022-03-16T11:37:42+00:00,yes,2022-03-16T11:42:15+00:00,yes,Other,,,,,,,
23,7465289.0,http://tiny.one/Ing7364,http://www.phishtank.com/phish_detail.php?phish_id=7465289,2022-03-16T11:21:39+00:00,yes,2022-03-16T11:31:53+00:00,yes,ING Direct,7465289.0,http://www.phishtank.com/phish_detail.php?phish_id=7465289,2022-03-16T11:21:39+00:00,yes,2022-03-16T11:31:53+00:00,yes,ING Direct
24,7465288.0,https://banca-sella.eu/,http://www.phishtank.com/phish_detail.php?phish_id=7465288,2022-03-16T11:18:15+00:00,yes,2022-03-16T11:22:57+00:00,yes,Other,,,,,,,
25,7465286.0,http://banca-sella.eu/,http://www.phishtank.com/phish_detail.php?phish_id=7465286,2022-03-16T11:13:23+00:00,yes,2022-03-16T11:22:57+00:00,yes,Other,7465286.0,http://www.phishtank.com/phish_detail.php?phish_id=7465286,2022-03-16T11:13:23+00:00,yes,2022-03-16T11:22:57+00:00,yes,Other
26,7465285.0,https://infocc.form.link/dbsbatalkan/,http://www.phishtank.com/phish_detail.php?phish_id=7465285,2022-03-16T10:51:52+00:00,yes,2022-03-16T11:06:16+00:00,yes,Other,,,,,,,
27,7465283.0,https://paxfulyr.com/#,http://www.phishtank.com/phish_detail.php?phish_id=7465283,2022-03-16T10:44:57+00:00,yes,2022-03-16T10:51:22+00:00,yes,Other,,,,,,,
28,7465282.0,https://trackit.fastitemtrack.top/pt/cttnew/?p=100&a=Projetor%20LED%20Estrela&cep=N2skdEn1lgKVhzSmBtcm45G4_TItJQzh5AHmgJa06Pg8yybVWwPwDZpUjJRwdHPXggLdh6bDx1uKgRkz_Pev4BHeT1RaqwYgzk-hOXGR9odCTQ7FEOuiWIhkxY5Vfs9El2rlRV9IRvJ1vTKbt2qP6Z-cXsaDf-IdpKGN5bTsL_Nr4WjdH01GYWFS5s28vfX8BFDmAxvwNBpkWLqFNdHm72yXTUo3THV6nnFCHVbhZZ4SOwUptLtthLNd0T9Vs224cNsoLUr6uOUbsfiYlLa86wbVqlilcbOUqCSbVHC25b74CpRxsuTo6D9Z6k4OGW0tgGFhfhRyEASePxKm5ORW5te-Tu65CmMp2g7tUdsZK_ZxARWzpN3MIFkMHV5m_N-Xm78F6xD-Xp_5iH9s_OHayXsddP0cH52_tY9YakoKHBTPsAHd-4NuK1F3Yn8e-CscW0DBAs0ZyHKQNE5mH_F0cLp8Zb31osgMSjgEhgQP_eM&lptoken=165f477e427f89ea9841&click_id=tBC9fUj&var2=&var3=K622DA0B6F3550&var4=&var5=6&var6=&var7=&var8=&var9=351969114943&var10=,http://www.phishtank.com/phish_detail.php?phish_id=7465282,2022-03-16T10:39:58+00:00,yes,2022-03-16T10:51:22+00:00,yes,Other,,,,,,,
29,7465281.0,http://akawug.com/tBC9fUj,http://www.phishtank.com/phish_detail.php?phish_id=7465281,2022-03-16T10:39:57+00:00,yes,2022-03-16T10:51:22+00:00,yes,Other,7465281.0,http://www.phishtank.com/phish_detail.php?phish_id=7465281,2022-03-16T10:39:57+00:00,yes,2022-03-16T10:51:22+00:00,yes,Other
30,7465280.0,https://talk21webmailsss106923.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465280,2022-03-16T10:35:36+00:00,yes,2022-03-16T10:42:42+00:00,yes,Other,,,,,,,
31,7465270.0,http://amminnxxionn.diskstation.eu/whouare/shawnn.html,http://www.phishtank.com/phish_detail.php?phish_id=7465270,2022-03-16T10:07:50+00:00,yes,2022-03-16T10:13:13+00:00,yes,Citizens Bank,,,,,,,
32,7465269.0,https://s.id/10He4,http://www.phishtank.com/phish_detail.php?phish_id=7465269,2022-03-16T10:07:16+00:00,yes,2022-03-16T10:13:13+00:00,yes,Other,,,,,,,
33,7465267.0,https://postoffice.status-401.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465267,2022-03-16T10:02:35+00:00,yes,2022-03-16T10:13:13+00:00,yes,Her Majesty's Revenue and Customs,,,,,,,
34,7465266.0,https://marcianoscakes.com.au/olasty/Home,http://www.phishtank.com/phish_detail.php?phish_id=7465266,2022-03-16T10:01:29+00:00,yes,2022-03-16T10:03:48+00:00,yes,ABSA Bank,7465266.0,http://www.phishtank.com/phish_detail.php?phish_id=7465266,2022-03-16T10:01:29+00:00,yes,2022-03-16T10:03:48+00:00,yes,ABSA Bank
35,7465264.0,https://ow7cqgh.cn/select/,http://www.phishtank.com/phish_detail.php?phish_id=7465264,2022-03-16T09:54:42+00:00,yes,2022-03-16T10:03:48+00:00,yes,Other,,,,,,,
36,7465263.0,https://9fdmlrs.cn/select/,http://www.phishtank.com/phish_detail.php?phish_id=7465263,2022-03-16T09:48:50+00:00,yes,2022-03-16T09:51:29+00:00,yes,Other,,,,,,,
37,7465260.0,https://btinternetryyt.yolasite.com/,http://www.phishtank.com/phish_detail.php?phish_id=7465260,2022-03-16T09:43:20+00:00,yes,2022-03-16T09:51:29+00:00,yes,Other,,,,,,,
38,7465259.0,https://onlinewirk.000webhostapp.com/online/login.html,http://www.phishtank.com/phish_detail.php?phish_id=7465259,2022-03-16T09:36:17+00:00,yes,2022-03-16T09:41:58+00:00,yes,Other,,,,,,,
39,7465257.0,https://abj.975.mywebsitetransfer.com/cache/d.php,http://www.phishtank.com/phish_detail.php?phish_id=7465257,2022-03-16T09:33:30+00:00,yes,2022-03-16T09:41:58+00:00,yes,Other,,,,,,,
40,7465256.0,http://nivel.co.me/wp-content/plugins/akismet/files/zPhp6sH109c5XxrPz2oxNuFoRmNsFPNFggbz/index.html,http://www.phishtank.com/phish_detail.php?phish_id=7465256,2022-03-16T09:31:26+00:00,yes,2022-03-16T09:41:58+00:00,yes,Other,7465256.0,http://www.phishtank.com/phish_detail.php?phish_id=7465256,2022-03-16T09:31:26+00:00,yes,2022-03-16T09:41:58+00:00,yes,Other
